id,physical_description,unit_capture,size,len_comp_size,size_comp_flag,width,height,optional
12463,CARD; 4.75X7.5;,inches,4.75X7.5,,0,4.75,7.5,
12464,CARD; ILLUS; COL; 7.0X9.0;,inches,7.0X9.0,,0,7.0,9.0,
12465,CARD; ILLU; COL; 5.5X8.0;,inches,5.5X8.0,,0,5.5,8.0,
12466,CARD; ILLU; COL; 5.5X8.0;,inches,5.5X8.0,,0,5.5,8.0,
12467,FOLDER; ILLU; COL; 5.5X7.5;,inches,5.5X7.5,,0,5.5,7.5,
12468,CARD; ILLUS; COL; 4.75X7.25;,inches,4.75X7.25,,0,4.75,7.25,
12469,CARD; ILLUS; COL; 6.0X8.75;,inches,6.0X8.75,,0,6.0,8.75,
12470,BROADSIDE; ILLUS; COL; 5.5X8.50;,inches,5.5X8.5,,0,5.5,8.5,
12471,BROADSIDE; ILLUS; COL; 5.5X8.50;,inches,5.5X8.5,,0,5.5,8.5,
12472,FOLDER; ILLUS; COL; 5.5X7.5;,inches,5.5X7.5,,0,5.5,7.5,
12473,CARD; ILLUS; COL; 4.25X5.5;,inches,4.25X5.5,,0,4.25,5.5,
12474,BOOKLET; ILLUS; COL; 5.5X7.0;,inches,5.5X7.0,,0,5.5,7.0,
12475,CARD; ILLUS; 6X9.5;,inches,6.0X9.5,,0,6.0,9.5,
12476,FOLDER; ILLUS; 6X9.25;,inches,6.0X9.25,,0,6.0,9.25,
12477,BROADSIDE; ILLUS; 5.5X8.5;,inches,5.5X8.5,,0,5.5,8.5,
12478,,,,,0,,,
12479,FOLDER; ILLUS; 5.5X8.5;,inches,5.5X8.5,,0,5.5,8.5,
12480,CARD; ILLUS; COL; 4.5X7;,inches,4.5X7.0,,0,4.5,7.0,
12481,CARD; ILLUS; COL; 4.5X7;,inches,4.5X7.0,,0,4.5,7.0,
12482,CARD; 4.25X6.25;,inches,4.25X6.25,,0,4.25,6.25,
12483,CARD; ILLUS; 6X9.5;,inches,6.0X9.5,,0,6.0,9.5,
12484,FOLDER; ILLUS; COL; 4.5X6.5;,inches,4.5X6.5,,0,4.5,6.5,
12485,CARD; 4.5 X 7;,inches,4.5X7.0,,0,4.5,7.0,
12486,CARD; ILLUS; COL; 3.25 X 8.5;,inches,3.25X8.5,,0,3.25,8.5,
12487,FOLDER; 6 X 9;,inches,6.0X9.0,,0,6.0,9.0,
12488,BOOKLET; ILLUS; 5 X 7.25;,inches,5.0X7.25,,0,5.0,7.25,
12489,FOLDER; ILLUS; 4 X 5.5;,inches,4.0X5.5,,0,4.0,5.5,
12490,CARD; ILLUS; COL; 4.5 X 8;,inches,4.5X8.0,,0,4.5,8.0,
12491,CARD; ILLUS; 4.5 X 6.25;,inches,4.5X6.25,,0,4.5,6.25,
12492,"BOOKLET, ILLUS; COL; 5 X 6.25;",inches,5.0X6.25,,0,5.0,6.25,
12493,CARD; 4.5 X 7;,inches,4.5X7.0,,0,4.5,7.0,
12494,BOOKLET; ILLUS; 4.5 X 6.5;,inches,4.5X6.5,,0,4.5,6.5,
12495,BOOKLET; ILLUS; 4 X 5.5;,inches,4.0X5.5,,0,4.0,5.5,
12497,CARD; 4.25 X 6.5;,inches,4.25X6.5,,0,4.25,6.5,
12498,CARD; COL; ILLUS; 5 X 7;,inches,5.0X7.0,,0,5.0,7.0,
12499,BROADSIDE; 6 X 9;,inches,6.0X9.0,,0,6.0,9.0,
12500,CARD;COL;4X6.5;,inches,4.0X6.5,,0,4.0,6.5,
12501,CARD;ILL;COL;4.25X6.5;,inches,4.25X6.5,,0,4.25,6.5,
12502,CARD;ILL;COL;4.25X6.5;,inches,4.25X6.5,,0,4.25,6.5,
12503,FOL; 4.75 x 7.25;,inches,4.75X7.25,,0,4.75,7.25,
12504,CARD; 4 X 6.25;,inches,4.0X6.25,,0,4.0,6.25,
12505,BROADSIDE; COL; 7 X 11.75;,inches,7.0X11.75,,0,7.0,11.75,
12506,FOLDER; ILLUS;8.25 X 14;,inches,8.25X14.0,,0,8.25,14.0,
12507,BROADSHEET; COL; 7 X 11;,inches,7.0X11.0,,0,7.0,11.0,
12508,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;,inches,4.5X7.5,,0,4.5,7.5,
12509,BROADSHEET; ILLUS; COL; 5 X 8;,inches,5.0X8.0,,0,5.0,8.0,
12510,BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;,inches,6.5X9.0,,0,6.5,9.0,
12511,BOOKLET;ILL;COL;4.25X6.25;,inches,4.25X6.25,,0,4.25,6.25,
12515,CARD;3.5 X 5;,inches,3.5X5.0,,0,3.5,5.0,
12516,BROADSIDE; ILLUS; 4.25 X 11.75,inches,4.25X11.75,,0,4.25,11.75,
