id,name,sponsor,event,venue,place,physical_description,physical_description 1,physical_description 2,physical_description 3,physical_description 4,size,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
17009,,CUNARD LINE,BREAKFAST,COMMERCIAL,RMS CAMPANIA,CARD;ILL;COL;4.25X6.5;,CARD,ILL,COL,4.25X6.5,4.25X6.5,DAILY;,RED FLAG WITH LION ON TOP LEFT;PRICED WINE LIST ON BACK OF CARD,1900-2117,,,1900-02-25,Cunard Line,,Shillings,s,complete,2,88
31794,,Hotel Kimball,,,,15x9cm folded; 15x18cm open,15x9cm folded, 15x18cm open,,,15x9cm folded; 15x18cm open,,Sons of the American Revolution,1925-0013_wotm,,,1925-04-17,Hotel Kimball,,,,complete,4,10
16783,,(NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.),LUNCHEON,COMMERCIAL,ON BOARD SS NORTH WEST,CARD; ILLUS; 7.25X12.75,CARD, ILLUS, 7.25X12.75,,7.25X12.75,,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME;",1900-3886,,,1900-07-14,Northern Steamship Company/Great Northern Ry Line.,,Dollars,$,complete,2,102
19732,,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS COPTIC,BROADSIDE; 5.5X8.5;,BROADSIDE, 5.5X8.5,,,5.5X8.5,,HAND-WRITTEN;,1900-2375,,,1900-03-11,Occidental & Oriental Steamship Company,,,,complete,2,24
33052,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,28x17.5cm,28x17.5cm,,,,28x17.5cm,,,1917-0545_wotm,,,1917-11-18,[Restaurant name and/or location not given],,Dollars,$,complete,1,89
23102,,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,SS HOHENZOLLERN,CARD;ILL;COL;5.25X8;,CARD,ILL,COL,5.25X8,5.25X8,DAILY;,SHIPS AT SEA;MENUS SEPARATE IN GERMAN AND ENGLISH;MAY BE USED AS POSTCARD;,1901-964,,,1901-04-20,Norddeutscher Lloyd Bremen,,,,complete,2,76
14110,,UNION LEAGUE OF PHILADELPHIA - FOUNDERS DAY,LUNCH OR DINNER,SOCIAL,"PHILADELPHIA,PA.",BROADSIDE; 3.75 X 6;,BROADSIDE, 3.75 X 6,,,3.75 X 6,SECULAR HOLIDAY;,LIST OF WINES INCLUDED;,1901-2699,,,1901-11-23,Union League Of Philadelphia   Founders Day,,,,complete,2,20
34345,The New Willard,The New Willard,,,,22x13.5cm ,22x13.5cm ,,,,22x13.5cm ,,The Gridiron Club,1914-1047_wotm,,,1914-12-12,The New Willard,,,,complete,1,24
21454,,TAMPA BAY HOTEL,LUNCHEON,COMMERCIAL,"TAMPA, FL",CARD; ILLUS; 4.5X6.75;,CARD, ILLUS, 4.5X6.75,,4.5X6.75,,HOTEL SEAL AT TOP;,1901-170,,,1901-01-24,Tampa Bay Hotel,,,,complete,2,44
26252,,NYCCC (NEW YORK CHAMBER OF COMMERCE?),COMMEM. OF EVACUATION OF NYC BY THE BRITISH,GOV'T.,"NEW YORK CITY, DELMONICO'S",CARD; ILLUS; 4.5 X 7.5;,CARD, ILLUS, 4.5 X 7.5,,4.5 X 7.5,PATRIOTIC HOLIDAY.,ILLUS. CROSSED COLONIAL AND 1183 AMERICAN FLAGS,1883-003,,,1883-11-26,Nyccc (New York Chamber Of Commerce?),,,,complete,2,27
16939,,OCEANIC STEAMSHIP CO.,DINNER,COMMERCIAL,EN ROUTE ABOARD VENTURA,CARD; 5.5 X 8.5;,CARD, 5.5 X 8.5,,,5.5 X 8.5,,LOGO;,1901-1432,,,1901-05-25,Oceanic Steamship Co.,,,,complete,2,51
13812,,CAFE ST. DENIS,DINNER,COMMERCIAL,NEW YORK,FOLDER; 7 X 11;,FOLDER, 7 X 11,,,7 X 11,,PRICED MENU; PRICED WINE LIST; NOTE ABOUT PURITY OF WATER AND MILK;,1901-1057,,,1901-04-27,Cafe St. Denis,,Dollars,$,complete,4,778
14450,,THE C.B. WOODWORTH'S SONS COMPANY,ANNUAL BANQUET TENDERED TO THEIR REPRESENTATIVES,PROF;,ROCHESTER CLUB,FOLDER; COL; 3.5X5.25;,FOLDER, COL, 3.5X5.25,,3.5X5.25,COMPLIMENTARY/TESTIMONIAL,WINES LISTED;,1907-1084,,,1907-12-17,The C.B. Woodworth's Sons Company,,,,complete,4,20
21698,,LAFAYETTE PLACE RESTAURANT & CAFE,DINNER,COMMERCIAL,16 LAFAYETTE PLACE;,FOLDER; COL; 5.5 X 9.5;,FOLDER, COL, 5.5 X 9.5,,5.5 X 9.5,DAILY,HANDWRITTEN SPECIALS FOR THE DAY ON ONE PAGE; WINE LIST ON BACK;,1900-711,,,1900-02-03,Lafayette Place Restaurant & Cafe,,Dollars,$,complete,4,161
24319,,OCEAN HOUSE,DAILY MENU,,,BROADSHEET ILLUS.,BROADSHEET ILLUS.,,,,,,INCLUDES WINE LIST,1864-001,,,1864-09-02,Ocean House,,Dollars,$,complete,2,101
29808,,Southern Pacific,,,,21.5x14cm folded; 21.5x28cm open,21.5x14cm folded, 21.5x28cm open,,,21.5x14cm folded; 21.5x28cm open,,,1946-0037_wotm,,,1946-01-01,Southern Pacific,,Dollars,$,complete,4,78
20188,,NIPPON YUSEN KAISHA - S.S.KASUGA,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS BORDER; 5.25 X 7.75;,BROADSIDE, ILLUS BORDER, 5.25 X 7.75,,5.25 X 7.75,,MENU HANDWRITTEN;,1900-4659,,,1900-10-10,Nippon Yusen Kaisha   S.S.Kasuga,,,,complete,2,15
34427,Hotel McAlpin,Hotel McAlpin,,,,16.5x10cm folded; 16.5x20cm open,16.5x10cm folded, 16.5x20cm open,,,16.5x10cm folded; 16.5x20cm open,,Boot and Shoe Travelers Association of New York,1913-0050_wotm,,,1913-01-18,Hotel McAlpin,,,,complete,3,16
26880,,Don the Beachcomber,,RESTAURANT,Don the Beachcomber,Booklet; 10 x 12.5 inches,Booklet, 10 x 12.5 inches,,,10 x 12.5 inches,,Dieter Zander Collection; includes a short history of the restaurant and an illustrated drink menu.,Zander 391,,,1965-01-06,Don The Beachcomber,,Dollars,$,complete,12,169
30223,,S.S. Matsonia,,,,30x22cm folded; 30x44cm open,30x22cm folded, 30x44cm open,,,30x22cm folded; 30x44cm open,,,1939-0175_wotm,,,1939-09-17,S.S. Matsonia,,Dollars,$,complete,3,71
21658,,WANAMAKER STORE,"INAUGURAL INSPECTION AND BANQUET TO THE AMERICAN PRESS, MEMBERS OF THE RETAIL TRADE, PUBLIC OFFICIALS, AND EDUCATOR",COMMERCIAL,"WANAMAKER STORE, NEW YORK ?",BOOKLET; COL; ILLUS; 6 X 9;,BOOKLET, COL, ILLUS, 6 X 9,6 X 9,COMPLIMENTARY/TESTIMONIAL,GRAY STOCK; ILLUSTRATION OF STORE; ORNAMENTAL BORDER;,1907-845,,,1907-09-24,Wanamaker Store,,,,complete,8,16
30574,,The Empress Hotel,,,,28x20.5cm folded; 28x41cm open,28x20.5cm folded, 28x41cm open,,,28x20.5cm folded; 28x41cm open,,,1937-0049_wotm,,,1937-03-09,The Empress Hotel,,Canadian Dollars,C$,complete,4,182
31053,,The Commodore Hotel,,,,19.5x14cm,19.5x14cm,,,,19.5x14cm,,,1933-0127_wotm,,,1933-05-15,The Commodore Hotel,,,,complete,1,22
26288,,(DOWN TOWN CLUB),CARTE DU JOUR,SOC;,"(60 PINE ST., NEW YORK, NY)",BROADSIDE; 6X10;,BROADSIDE, 6X10,,,6X10,OTHER (DAILY MENU);,"A LA CARTE, PRICED MENU; (SPONSOR & PLACE INFO SUPPLIED BY FLB);",1900-643,,,1900-01-30,Down Town Club,,Dollars,$,complete,2,102
22701,,SAGAMORE HOTEL RESTAURANT AND CAFE,BILL OF FARE,COMMERCIAL,"BOULEVARD, 66TH AND 67TH STREETS",FOLDER; 6.25X10.0;,FOLDER, 6.25X10.0,,,6.25X10.0,,,1900-582,,,1900-01-29,Sagamore Hotel Restaurant And Cafe,,Dollars,$,complete,4,219
