id,physical_description,size_cp,size,menu_format,unit
26165,FOLDER; ILLUS; COL; 4.5X.6.5;,4.5x6.5,4.5x6.5,,
23252,ILLUS. FOLDER,,,,
25202,BOOKLET; ILLUS; COL;,,,,
25171,FOLDER; ILLUS; COL;,,,,
25137,BROADSIDE,,,,
25134,FOLDER; ILLUS; COL; 3.75.X5.5;,3.75x5.5,3.75x5.5,,
25105,FOLDER;ILLUS; COL;,,,,
25070,ILLUS. FOLDER,,,,
25037,BROADSIDE;,,,,
24973,BROADSIDE,,,,
24967,CARD;,,,,
24941,CARD;,,,,
24930,ILLUS. FOLDER,,,,
24926,CARD;,,,,
24726,ILLUS.;BROADSIDE,,,,
24613,CARD;,,,,
24535,BROADSIDE,,,,
24368,FOLDER;ILLUS;COL;5.58.25;,5.5x8.25,5.5x8.25,,
24319,BROADSHEET ILLUS.,,,,
24307,BROADSIDE; COLORED PRINT;,,,,
24283,BROADSIDE; ILLUS.,,,,
24178,FOLDER,,,,
24074,FOLDER; ILLUS; COL; 4.5;7.5;,4.5x7.5,4.5x7.5,,
23943,FOL; ILLUS; 5.25. x 8.25.;,5.25x8.25,5.25x8.25,,
23853,BROADSIDE,,,,
23841,CARD;4.5 X.6.5;,4.5x6.5,4.5x6.5,,
23826,SINGLE SHEET PRINTED ON BOTH SIDES,,,,
23623,"BROADSIDE CARD. ILLUS. APPROX. 2"" x 8""",2x8inches,2x8,,inches
23446,BROADSIDE,,,,
25242,BROADSIDE,,,,
25271,BROADSIDE;5.25. x 9;,5.25x9,5.25x9,,
25279,BROADSHEET,,,,
26113,CARD;,,,,
27435,CARD; COL; ILLUS;  8.25,8.25,8.25,,
27308,broadside,,,,
26757,Folder in plastic,,,,
26698,3 broadsides,,,,
26577,14.5,14.5,14.5,,
13659,CARD; 4.5 X.6.5;,4.5x6.5,4.5x6.5,,
13658,CARD; 4.5 X.6.5;,4.5x6.5,4.5x6.5,,
26230,FOLDER; COL; ILLUS; 4.5 X.7;,4.5x7,4.5x7,,
26226,BOOKLET;ILLUS;,,,,
26190,CARD;4.5 X.6.5;,4.5x6.5,4.5x6.5,,
13652,CARD,,,,
26136,CARD;,,,,
26092,FOLDER,,,,
25338,FOL; ILLUS; 5.8;,5.8,5.8,,
26091,SINGLE SHEET,,,,
25972,PRINTED ON SILK,,,,
25958,CARD; ILLUS; COLOR;,,,,
25808,FOLDER;,,,,
25769,BROADSIDE,,,,
25644,CARD;,,,,
25632,CARD;4.5 X.6.5;,4.5x6.5,4.5x6.5,,
25602,"10"" x 15""",10x15inches,10x15,,inches
25543,CARD; COL; ILLUS;,,,,
25492,BROADSIDE;,,,,
25391,FOLDER; ILLUS;,,,,
25345,ILLUS. BROADSIDE,,,,
23311,BROADSHEET,,,,
23173,SILK BROADSIDE,,,,
14118,BROADSIDE; ILLUS; COL; 5.5. X 8;,5.5x8,5.5x8,,
23157,Handwritten Broadside,,,,
21635,ILLUS.BROADSIDE,,,,
21463,BROADSIDE; 4.25. x 6.5;,4.25x6.5,4.25x6.5,,
21437,CARD; COL; 4.5 X.6.25;,4.5x6.25,4.5x6.25,,
21383,ILLUS. FOLDER,,,,
21349,FOLDER; COL; ILLUS; 4.5 X.7;,4.5x7,4.5x7,,
21348,CARD;,,,,
21337,CARD;,,,,
21258,BROADSIDE,,,,
21217,BROADSHEET,,,,
21197,BROADSHEET; 4.25;4.25;,4.25x4.25,4.25x4.25,,
21154,FOLDER; ILLUS; COL;,,,,
21081,FOLDER,,,,
21075,"FOLDER, BUFF, ILLUSTRATION [HOTEL?]",,,,
20966,"4"" by 14"" broadside",4x14inches,4x14,,inches
20962,Foldout,,,,
20795,CARD;,,,,
20634,"BROADSHEET; ILLUS, JAPANESE ; COL; 1O X 9.5;",10x9.5,10x9.5,,
20576,CARD;ILL;COL;5;7;,5x7,5x7,,
20575,CARD;ILL;COL;5;7;,5x7,5x7,,
20505,BROADSIDE; ILLUS; COL; 5.5.X 8;,5.5x8,5.5x8,,
20501,BROADSIDE; ILLUS; COL; 5.5.X 8;,5.5x8,5.5x8,,
20415,CARD;ILL;COL;5;7;,5x7,5x7,,
20199,BROADSIDE; ILLUS; COL; 5.5.X 8;,5.5x8,5.5x8,,
13315,BROADSHEET; ILLUS OF JAPANESE CHILDREN; COL; 1O X 9.5;,10x9.5,10x9.5,,
13308,BROADSIDE; 4.X 7;,4x7,4x7,,
12998,CARD; ILLUS; COL; 4.X6.25;,4x6.25,4x6.25,,
13065,CARD; ILLUS; COL; 4.6.25;,4x6.25,4x6.25,,
21695,BOOKLET,,,,
21726,BROADSHEET,,,,
21772,BROADSIDE,,,,
12801,BROADSHEET;ILL;,,,,
23125,ILLUS.;FOLDER,,,,
23086,FOLDER,,,,
16594,BROADSIDE; EMBLEM; 5.5.X 7;,5.5x7,5.5x7,,
16604,BROADSIDE; EMBLEM; 5.5.X 7;,5.5x7,5.5x7,,
16650,BROADSIDE; ILLUS; COL; 5.5.X 8;,5.5x8,5.5x8,,
22868,ILLUS. BROADSIDE,,,,
22832,CARD,,,,
22755,ILLUS.FOLDER,,,,
22714,CARD; 3.75;5.5;,3.75x5.5,3.75x5.5,,
22685,FOLDER,,,,
22592,ILLUS. FOLDER,,,,
22578,FOLDER; COL; ILLUS;,,,,
22391,FOLDER; COL; ILLUS; 4.5 X.7;,4.5x7,4.5x7,,
21794,CARD;,,,,
22360,BROADSIDE,,,,
22326,FOLDER,,,,
22229,SINGLE SHEET,,,,
22221,BROADSIDE;ILLUS;7XII;,7x11,7x11,,
22196,BOOKLET; ILLUS;,,,,
22182,BROADSIDE; COL; ILLUS;,,,,
22120,CARD;,,,,
22043,BROADSIDE,,,,
22042,FOLDER ILLUS.,,,,
13554,FOLDER; GOLD FIGURE; COL; 6.75 X .5;,6.75x5,6.75x5,,
21914,CARD;,,,,
21840,BROADSIDE; ILLUS; 4.25 C 6.25;,4.25x6.25,4.25x6.25,,
14139,BROADSIDE; EMBLEM; 5.5.X 7;,5.5x7,5.5x7,,
22222,FOLDER,,,,
