id,width,height,optional
12463,4.75,7.5,
12464,7.0,9.0,
12465,5.5,8.0,
12466,5.5,8.0,
12467,5.5,7.5,
12468,4.75,7.25,
12469,6.0,8.75,
12470,5.5,8.5,
12471,5.5,8.5,
12472,5.5,7.5,
12473,4.25,5.5,
12474,5.5,7.0,
12475,6.0,9.5,
12476,6.0,9.25,
12477,5.5,8.5,
12478,,,
12479,5.5,8.5,
12480,4.5,7.0,
12481,4.5,7.0,
12482,4.25,6.25,
12483,6.0,9.5,
12484,4.5,6.5,
12485,4.5,7.0,
12486,3.25,8.5,
12487,6.0,9.0,
12488,5.0,7.25,
12489,4.0,5.5,
12490,4.5,8.0,
12491,4.5,6.25,
12492,5.0,6.25,
12493,4.5,7.0,
12494,4.5,6.5,
12495,4.0,5.5,
12497,4.25,6.5,
12498,5.0,7.0,
12499,6.0,9.0,
12500,4.0,6.5,
12501,4.25,6.5,
12502,4.25,6.5,
12503,4.75,7.25,
12504,4.0,6.25,
12505,7.0,11.75,
12506,8.25,14.0,
12507,7.0,11.0,
12508,4.5,7.5,
12509,5.0,8.0,
12510,6.5,9.0,
12511,4.25,6.25,
12515,3.5,5.0,
12516,4.25,11.75,
12517,6.0,7.5,
12518,7.25,11.5,
12519,3.5,7.25,
12520,4.25,3.5,
12522,3.0,3.75,
12523,6.25,9.0,
12524,4.0,7.5,
12525,4.5,7.0,
12526,5.5,10.0,
12527,4.5,6.5,
12528,4.5,6.5,
12529,3.0,4.5,
12530,5.0,8.0,
12531,5.0,8.0,
12532,5.0,8.0,
12533,5.0,8.0,
12534,5.25,7.75,
12535,5.75,7.5,
12536,4.25,6.0,
12537,4.5,6.5,
12538,5.0,8.0,
12539,8.5,12.0,
12545,4.5,10.75,
12546,7.5,7.5,
12549,5.5,7.0,
12550,5.5,8.5,
12551,5.5,8.0,
12552,4.25,6.75,
12553,5.5,8.5,
12554,4.5,7.5,
12555,4.5,7.0,
12556,6.5,9.5,
12557,4.75,7.25,
12558,5.5,8.75,
12559,5.5,7.0,
12560,4.5,7.0,
12561,3.5,5.0,
12562,4.5,6.5,
12563,5.5,8.5,
12564,7.0,9.5,
12567,3.25,6.25,
12568,4.75,7.75,
12569,4.25,6.25,
12570,5.5,7.5,
12571,10.0,7.0,
12573,4.25,6.25,
12574,5.5,8.5,
12575,7.0,11.0,
12576,4.5,7.0,
12577,5.0,7.0,
12578,5.0,8.0,
12579,5.5,8.75,
12583,,,
12584,,,
12585,,,
12586,,,
12587,,,
12588,,,
12589,,,
12590,,,
12591,,,
12592,,,
12593,,,
12595,,,
12596,,,
12597,,,
12598,,,
12599,,,
12600,,,
12601,,,
12602,,,
12603,,,
12604,,,
12605,,,
12606,,,
12607,,,
12609,,,
12610,,,
12611,,,
12613,,,
12614,,,
12616,,,
12617,,,
12618,,,
12619,,,
12620,,,
12621,,,
12622,,,
12624,,,
12625,,,
12626,,,
12627,,,
12628,,,
12629,,,
12630,,,
12632,,,
12633,,,
12635,,,
12636,,,
12637,,,
12638,,,
12639,,,
12640,,,
12641,,,
12642,,,
12643,,,
12644,,,
12645,,,
12646,,,
12647,,,
12648,,,
12649,,,
12650,,,
12651,,,
12652,,,
12653,,,
12654,,,
12655,,,
12656,,,
12657,,,
12658,,,
12662,,,
12663,,,
12665,,,
12666,,,
12668,,,
12669,,,
12670,,,
12671,,,
12672,,,
12673,,,
12674,,,
12675,,,
12678,,,
12688,,,
12689,,,
12694,,,
12695,,,
12696,,,
12697,,,
12698,,,
12700,4.5,10.5,
12702,5.0,7.25,
12703,5.0,7.0,
12704,6.5,11.0,
12705,3.75,6.0,
12706,4.5,7.5,
12708,4.5,7.5,
12709,4.5,7.0,
12710,5.5,7.75,
12711,5.5,7.75,
12712,5.5,6.75,
12713,10.5,9.5,
12714,4.5,6.75,
12715,6.5,7.75,
12716,5.5,8.0,
12717,3.0,5.0,
12718,5.25,8.25,
12719,4.5,7.25,
12722,4.75,8.25,
