,Occurrance,Frequency
0,CARD,2923
1,X,7314
2,ILLUS,4155
3,COL,3655
4,ILLU,4
5,FOLDER,1922
6,BROADSIDE,1218
7,BOOKLET,780
8,ILL,667
9,FOL,21
10,x,11427
11,BROADSHEET,562
12,HOTEL,61
13,EMBLEM,167
14,BORDER,38
15,L,2
16,SEAL,4
17,GOLD,23
18,TRIM,52
19,BOOLET,1
20,CARE,2
21,CO,2
22,COK,1
23,DECORATION,4
24,FLAG,22
25,OF,17
26,BROADSIDES,1
27,COVER,47
28,JAPANESE,16
29,CHILDREN,9
30,IN,21
31,COLOR,56
32,CLUB,4
33,S,1
34,PAGES,5
35,O,3
36,ENGRAVED,10
37,EMBLRM,1
38,SCENES,1
39,LLUS,2
40,ILLLUS,3
41,JOINED,11
42,BY,11
43,RIBBON,48
44,FIGURE,1
45,BOKLET,1
46,SILVER,4
47,ON,19
48,EACH,1
49,PAGE,8
50,in,243
51,EVERY,1
52,CIL,1
53,BROADIDE,4
54,AMERICAN,1
55,RED,7
56,WHITE,3
57,BLUE,2
58,NAUTICAL,1
59,ILUS,2
60,GIRL,1
61,SCENE,1
62,FOFLDER,1
63,OLDER,1
64,PHOTOGRAPH,7
65,BACK,5
66,PHOTO,10
67,ILLS,3
68,BROAADSIDE,1
69,ILLUST,1
70,COUNTRY,2
71,WARRIOR,1
72,COLL,2
73,Foldout,1
74,by,2
75,broadside,38
76,BUFF,1
77,ILLUSTRATION,1
78,BOOK,3
79,HANDWRITTEN,5
80,BOKKLET,1
81,ILLIS,2
82,CARDS,10
83,YELLOW,1
84,TWO,4
85,CORD,1
86,MENU,4
87,FRENCH,2
88,GREEN,2
89,FABRIC,1
90,BOLDER,1
91,IS,1
92,SILK,6
93,FROADSIDE,1
94,C,1
95,FOLDED,1
96,SHEET,4
97,FILDER,1
98,ENCLOSED,1
99,INVITATION,1
100,REPLICA,1
101,FRATERNITY,1
102,PLACE,1
103,ATTACHED,1
104,HARD,1
105,PRINTING,3
106,INSERT,3
107,BROADEIDE,1
108,PINK,2
109,XII,1
110,SINGLE,3
111,HEAVY,1
112,STOCK,2
113,BOOKLRY,1
114,ENBLEM,1
115,PAMPHLET,1
116,D,1
117,CAD,1
118,COLORED,2
119,FOLFER,1
120,PHOTOGRAPHS,2
121,ULLUS,1
122,BOOKLE,1
123,DROADSHEET,2
124,TABLE,1
125,PLAN,1
126,Handwritten,1
127,Broadside,29
128,WINE,1
129,CAARD,1
130,PRES,1
131,one,3
132,sheet,1
133,CALENDAR,1
134,ATACHED,1
135,FOLDERP,1
136,SHAPE,1
137,MAP,1
138,PAPER,1
139,APPROX,1
140,SEPARATE,1
141,RIBBONS,2
142,PRINTED,2
143,BOTH,1
144,SIDES,1
145,FORM,1
146,TREE,1
147,LOCOMOTIVE,1
148,DECORATED,1
149,PHOTOS,1
150,SCALLOPED,1
151,EDGE,1
152,FOLDR,2
153,ILLUSLCOL,1
154,AND,2
155,PRINT,1
156,ILLUSTRATED,1
157,ALL,1
158,ITEMS,1
159,TYPED,1
160,folder,99
161,GREY,1
162,ROYAL,1
163,ILLUSTRED,1
164,ILLUA,1
165,FOLDERL,1
166,FRONT,1
167,BLACK,1
168,CIOL,1
169,THREE,1
170,TOASTS,1
171,DOUBLE,1
172,CL,1
173,HPTEL,1
174,GUEST,1
175,STRIPED,1
176,BANK,1
177,CIRCULAR,1
178,US,1
179,SEEM,1
180,TO,1
181,BE,1
182,HAND,1
183,PAINTED,1
184,HATEL,1
185,COLO,1
186,Booklet,177
187,inches,757
188,Folder,312
189,Folded,2
190,set,1
191,of,4
192,postcards,1
193,folded,4108
194,extended,1
195,Tri,55
196,fold,215
197,unfolded,9
198,Card,21
199,laminated,69
200,pages,11
201,Paper,17
202,clear,2
203,plastic,17
204,sleeves,9
205,with,38
206,paper,61
207,inserted,2
208,Plastic,5
209,sleeve,7
210,insert,23
211,Newspaper,2
212,rounded,2
213,at,4
214,top,5
215,Accordian,3
216,shape,1
217,cut,1
218,out,2
219,cover,37
220,is,14
221,interior,4
222,opens,4
