,Occurrance,Frequency
0,"('CARD', '4.75X7.5')",4
1,"('CARD', 'ILLUS')",1331
2,"('ILLUS', 'COL')",2407
3,"('COL', '7.0X9.0')",1
4,"('CARD', 'ILLU')",3
5,"('ILLU', 'COL')",3
6,"('COL', '5.5X8.0')",5
7,"('FOLDER', 'ILLU')",1
8,"('COL', '5.5X7.5')",22
9,"('COL', '4.75X7.25')",8
10,"('COL', '6.0X8.75')",1
11,"('BROADSIDE', 'ILLUS')",518
12,"('COL', '5.5X8.50')",2
13,"('FOLDER', 'ILLUS')",1050
14,"('COL', '4.25X5.5')",3
15,"('BOOKLET', 'ILLUS')",493
16,"('COL', '5.5X7.0')",5
17,"('ILLUS', '6X9.5')",14
18,"('ILLUS', '6X9.25')",1
19,"('ILLUS', '5.5X8.5')",32
20,"('COL', '4.5X7')",90
21,"('CARD', '4.25X6.25')",2
22,"('COL', '4.5X6.5')",41
23,"('CARD', '4.5')",111
24,"('4.5', 'X')",438
25,"('X', '7')",467
26,"('COL', '3.25')",6
27,"('3.25', 'X')",21
28,"('X', '8.5')",160
29,"('FOLDER', '6')",21
30,"('6', 'X')",174
31,"('X', '9')",148
32,"('ILLUS', '5')",108
33,"('5', 'X')",412
34,"('X', '7.25')",173
35,"('ILLUS', '4')",34
36,"('4', 'X')",219
37,"('X', '5.5')",55
38,"('COL', '4.5')",157
39,"('X', '8')",392
40,"('ILLUS', '4.5')",90
41,"('X', '6.25')",99
42,"('COL', '5')",196
43,"('X', '6.5')",161
44,"('CARD', '4.25')",39
45,"('4.25', 'X')",123
46,"('CARD', 'COL')",246
47,"('COL', 'ILLUS')",238
48,"('BROADSIDE', '6')",14
49,"('COL', '4X6.5')",17
50,"('CARD', 'ILL')",352
51,"('ILL', 'COL')",473
52,"('COL', '4.25X6.5')",53
53,"('FOL', '4.75')",1
54,"('4.75', 'x')",6
55,"('x', '7.25')",6
56,"('CARD', '4')",80
57,"('BROADSIDE', 'COL')",87
58,"('COL', '7')",38
59,"('7', 'X')",106
60,"('X', '11.75')",5
61,"('ILLUS', '8.25')",7
62,"('8.25', 'X')",10
63,"('X', '14')",5
64,"('BROADSHEET', 'COL')",53
65,"('X', '11')",85
66,"('BROADSIDE', 'HOTEL')",45
67,"('HOTEL', 'EMBLEM')",55
68,"('EMBLEM', '4.5')",7
69,"('X', '7.5')",245
70,"('BROADSHEET', 'ILLUS')",301
71,"('EMBLEM', 'COL')",38
72,"('COL', '6.5')",27
73,"('6.5', 'X')",211
74,"('BOOKLET', 'ILL')",77
75,"('COL', '4.25X6.25')",26
76,"('CARD', '3.5')",24
77,"('3.5', 'X')",76
78,"('X', '5')",33
79,"('ILLUS', '4.25')",30
80,"('COL', '6')",65
81,"('ILLUS', '7.25X11.5')",1
82,"('COL', '3.5X7.25')",1
83,"('COL', '4.25X3.5')",1
84,"('COL', '3X3.75')",1
85,"('COL', '6.25X9')",6
86,"('COL', '4X7.5')",19
87,"('ILLUS', '5.5X10')",1
88,"('COL', '3X4.5')",3
89,"('COL', '5X8')",148
90,"('COL', '5.25X7.75')",7
91,"('ILLUS', '5.75X7.5')",2
92,"('BROADSIDE', '4.25X6.0')",1
93,"('CARD', '5')",66
94,"('FOLDER', '8.5')",1
95,"('8.5', 'X')",17
96,"('X', '12')",13
97,"('FOLDER', 'ILL')",195
98,"('X', '10.75')",12
99,"('FOLDER', 'COL')",164
100,"('COL', '7.5X7.5')",1
101,"('COL', '5.5X7')",91
102,"('COL', '5.5X8.5')",75
103,"('COL', '5.5')",213
104,"('5.5', 'X')",605
105,"('X', '6.75')",106
106,"('CARD', '4.5X7.5')",9
107,"('BROADSHEET', '4.5X7.0')",1
108,"('COL', '6.5X9.5')",4
109,"('CARD', '4.75X7.25')",4
110,"('ILLUS', '5.5X8.75')",1
111,"('ILLUS', '5.5X7')",14
112,"('COL', '7X9.5')",2
113,"('ILLUS', '3.25X6.25')",2
114,"('COL', '4.75X7.75')",2
115,"('ILLUS', '4.25X6.25')",6
116,"('ILLUS', '5.5X7.5')",8
117,"('COL', '10X7')",2
118,"('BROADSHEET', 'ILLUS.BORDER')",1
119,"('ILLUS.BORDER', 'COL')",2
120,"('BROADSIDE', '4.5')",26
121,"('ILLUS', '5.5')",172
122,"('X', '8.75')",28
123,"('X', '10.5')",27
124,"('EMBLEM', '5')",12
125,"('BROADSHEET', '3.75')",5
126,"('3.75', 'X')",57
127,"('X', '6')",121
128,"('COL', '4.5X7.5')",18
129,"('CARD', '4.5X7')",17
130,"('BROADSIDE', '5.5X7.75')",19
131,"('COL', '5.5X6.75')",17
132,"('COL', '10.5X9.5')",16
133,"('BROADSIDE', '4.5X6.75')",4
134,"('ILLUS', '6.5')",158
135,"('X', '7.75')",273
136,"('COL', '5.5X8')",84
137,"('ILLUS', '3X5')",2
138,"('ILLUS', '5.25X8.25')",6
139,"('ILLUS', '4.5X7.25')",21
140,"('BROADSIDE', '4.75X8.25')",1
141,"('FOLDER', '5.5X8.5')",8
142,"('COL', '6.25X10.5')",1
143,"('BROADSIDE', '5.75X8.75')",33
144,"('BROADSIDE', '5.0X8.0')",1
145,"('BROADSIDE', '5.0X8.5')",1
146,"('COL', '3.25X5.25')",2
147,"('COL', '5X8.25')",9
148,"('COL', '7X12.25')",1
149,"('COL', '4.25X7')",8
150,"('COL', '4X6.25')",32
151,"('COL', '4.5X7.25')",16
152,"('CARD', '5X7')",8
153,"('COL', '7X11L')",2
154,"('BROADSIDE', '5.5X8.5')",10
155,"('COL', '4X7')",9
156,"('COL', '4/75X7.25')",1
157,"('COL', '5.5X8.25')",73
158,"('COL', '5.25X8.5')",8
159,"('COL', '4')",67
160,"('COL', '6.5X10')",6
161,"('CARD', '4.25X6.75')",11
162,"('4.25X6.75', 'ILLUS')",5
163,"('COL', '9X7')",9
164,"('COL', '5.5X9')",3
165,"('COL', '6.25X8.75')",2
166,"('ILLUS', '6.25X10')",2
167,"('ILLUS', '7X11')",3
168,"('ILLUS', '5.25X7.5')",15
169,"('BROADSHEET', '8X10.5')",1
170,"('BROADSHEET', '5.5X9.5')",1
171,"('COL', '6X9.5')",6
172,"('COL', '5.25X7.25')",4
173,"('BROADSIDE', '4.25X7')",2
174,"('COL', '5.5X4')",2
175,"('ILL', '4X5.5')",2
176,"('BROADSHEET', '3.75X6')",2
177,"('BROADSHEET', 'ILL')",8
178,"('CARD', '5.5X8.0')",2
179,"('BROADSHEET', '3.75X6.0')",2
180,"('CARD', '6.5X10.0')",1
181,"('CARD', '5.5X7.0')",1
182,"('BROADSIDE', '5.25X7.5')",1
183,"('COL', '5.5X9.0')",1
184,"('CARD', '4.25X6.5')",6
185,"('FOLDER', '6X12')",1
186,"('FOLDER', '6.75X10')",2
187,"('ILLUS', '4.5X7')",19
188,"('ILLUS', '4.5X5.75')",2
189,"('ILLUS', '5.5X7.75')",6
190,"('FOLDER', '5')",24
191,"('ILLUS', '6')",53
192,"('X', '9.75')",22
193,"('BROADSIDE', '3.75')",6
194,"('FOLDER', '4.5')",37
195,"('X', '9.5')",124
196,"('COL', '7X11')",19
197,"('COL', '7X13')",1
198,"('BROADSIDE', 'ILL')",32
199,"('CARD', '5.5')",69
200,"('CARD', '5.25')",26
201,"('5.25', 'X')",258
202,"('X', '10')",52
203,"('X', '9.25')",58
204,"('CARD', '6.75')",2
205,"('6.75', 'X')",21
206,"('CARD', '6.25')",15
207,"('6.25', 'X')",59
208,"('X', '8.25')",144
209,"('CARD', '3.75')",18
210,"('FOLDER', '7')",19
211,"('EMBLEM', '5.25')",12
212,"('CARD', '6.25X9.25')",3
213,"('CARD', '5.5X7.25')",1
214,"('CARD', '6.75X11.0')",2
215,"('FOLDER', '6.0X9.5')",2
216,"('CARD', '6.25X9.5')",1
217,"('CARD', '4.25X7.0')",3
218,"('FOLDER', '6X9.5')",4
219,"('ILLUS', '6X11')",2
220,"('CARD', '5X7.25')",5
221,"('COL', '5.5X9.5')",1
222,"('COL', '6.5X9')",2
223,"('CARD', '6.5')",9
224,"('COL', '4X6.75')",2
225,"('FOLDER', '6.25')",9
226,"('HOTEL', 'SEAL')",2
227,"('SEAL', 'COL')",2
228,"('COL', '6.75')",9
229,"('BROADSHEET', 'HOTEL')",5
230,"('FOLDER', '6.5')",10
231,"('BROADSIDE', 'GOLD')",7
232,"('GOLD', 'TRIM')",11
233,"('TRIM', '3.5')",3
234,"('BROADSIDE', '5.25')",19
235,"('COL', '3.5')",25
236,"('X', '4.75')",9
237,"('COL', '6X8.5')",7
238,"('COL', '6.25X9.75')",2
239,"('CARD', '4X5.5')",1
240,"('BROADSIDE', '5.5')",68
241,"('COL', '3')",10
242,"('3', 'X')",29
243,"('ILL', '4.5X5.75')",1
244,"('CARD', '5.75X6.5')",8
245,"('ILLUS', '4.5X6.5')",11
246,"('BROADSIDE', '4.5X7.25')",5
247,"('COL', '4X5.5')",8
248,"('COL', '6.5X8.75')",9
249,"('COL', '5.25X7')",13
250,"('BOOKLET', '5.75')",6
251,"('5.75', 'X')",53
252,"('EMBLEM', '4.25')",5
253,"('EMBLEM', 'GOLD')",1
254,"('TRIM', '6.5')",2
255,"('COL', '4.75')",59
256,"('4.75', 'X')",114
257,"('COL', '3.75')",15
258,"('COL', '5.25')",116
259,"('COL', '5X7')",46
260,"('COL', '4.5X9')",3
261,"('COL', '5.5X11')",1
262,"('COL', '6X10.75')",1
263,"('BOOLET', 'ILL')",1
264,"('COL', '4/25X7')",1
265,"('CARD', '7X11')",8
266,"('CARD', '5.25X7')",2
267,"('COL', '4.5X6')",14
268,"('COL', '5.25X8')",97
269,"('3', '5X7')",1
270,"('COL', '4.X6.25')",1
271,"('COL', '3.75X7')",5
272,"('COL', '5.25X7.5')",69
273,"('FOLDER', '3.0X3.0')",1
274,"('ILLUS', '5.5X7.0')",3
275,"('CARD', '4.75X6.75')",2
276,"('CARD', '3.25X6.25')",1
277,"('COL', '5.5X7.25')",18
